,,,,Time_Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,Time,YR1950,YR1951,YR1952,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,YR2030,YR2031,YR2032,YR2033,YR2034,YR2035,YR2036,YR2037,YR2038,YR2039,YR2040,YR2041,YR2042,YR2043,YR2044,YR2045,YR2046,YR2047,YR2048,YR2049,YR2050
Country,Country_Name,Series,Series_Name,SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337423,2363325,2389336,2415369,2441442,2467683,2493818,2520021,2546490,2573110,2599779,2626567,2653498,2680080,2706202,2732146,2757876,2783369,2808544,2833260,2857505,2881339,2904784,2927865,2950413,2972157,2993077
LSO,Lesotho,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316483,1307638,1298547,1289179,1279560,1269773,1259692,1249428,1239093,1228645,1218054,1207371,1196626,1185619,1174333,1162923,1151402,1139788,1128079,1116251,1104334,1092385,1080448,1068563,1056703,1044810,1032915
LSO,Lesotho,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020940,1055687,1090789,1126190,1161882,1197910,1234126,1270593,1307397,1344465,1381725,1419196,1456872,1494461,1531869,1569223,1606474,1643581,1680465,1717009,1753171,1788954,1824336,1859302,1893710,1927347,1960162
LTU,Lithuania,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888278,2845440,2822205,2799079,2776232,2754121,2732222,2710662,2689059,2667314,2644975,2622914,2600269,2576899,2553498,2529358,2506043,2482438,2458524,2434341,2411055,2387896,2364911,2341392,2318531,2296004,2272803
LTU,Lithuania,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900317,879763,865450,851300,837365,823780,810385,797216,784160,771189,758175,745371,732532,719624,706844,694000,681520,669101,656738,644445,632530,620786,609224,597663,586408,575372,564305
LTU,Lithuania,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987961,1965677,1956755,1947779,1938867,1930341,1921837,1913446,1904899,1896125,1886800,1877543,1867737,1857275,1846654,1835358,1824523,1813337,1801786,1789896,1778525,1767110,1755687,1743729,1732123,1720632,1708498
LUX,Luxembourg,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677012,684101,690822,697568,704224,710403,716217,721796,727353,732496,737394,742205,746689,750896,755154,759188,762757,766210,769492,772366,775107,777756,780094,782242,784366,786101,787638
LUX,Luxembourg,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34908,34997,35077,35166,35259,35337,35407,35475,35551,35617,35681,35751,35816,35878,35952,36026,36088,36155,36223,36283,36346,36415,36479,36543,36616,36679,36742
LUX,Luxembourg,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642104,649104,655745,662402,668965,675066,680810,686321,691802,696879,701713,706454,710873,715018,719202,723162,726669,730055,733269,736083,738761,741341,743615,745699,747750,749422,750896
LVA,Latvia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866124,1844970,1830743,1816477,1802290,1787966,1773274,1759155,1744870,1730765,1717045,1703562,1689920,1676536,1663076,1649425,1636175,1622745,1609790,1596714,1583773,1570627,1557933,1545293,1532677,1520137,1507681
LVA,Latvia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588129,578720,571117,563142,554849,546189,537107,527907,518380,508645,498776,488740,478438,468003,457354,446476,435541,424405,413254,401943,390550,379002,367472,355870,344202,332490,320746
LVA,Latvia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277995,1266250,1259626,1253335,1247441,1241777,1236167,1231248,1226490,1222120,1218269,1214822,1211482,1208533,1205722,1202949,1200634,1198340,1196536,1194771,1193223,1191625,1190461,1189423,1188475,1187647,1186935
MAC,"Macao SAR, China",SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687000,677703,679364,679426,679631,681641,682042,682626,681186,681082,679320,677203,673538,669957,665527,662110,658829,654515,650289,646310,643019,640227,636059,631464,627685,624859,621336
MAC,"Macao SAR, China",SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAC,"Macao SAR, China",SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687000,677703,679364,679426,679631,681641,682042,682626,681186,681082,679320,677203,673538,669957,665527,662110,658829,654515,650289,646310,643019,640227,636059,631464,627685,624859,621336
MAF,St. Martin (French part),SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26129,24941,23898,22991,22233,21599,21066,20610,20226,19883,19601,19397,19246,19137,19049,18982,18924,18869,18835,18823,18821,18819,18805,18793,18799,18803,18795
MAF,St. Martin (French part),SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAF,St. Martin (French part),SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26129,24941,23898,22991,22233,21599,21066,20610,20226,19883,19601,19397,19246,19137,19049,18982,18924,18869,18835,18823,18821,18819,18805,18793,18799,18803,18795
MAR,Morocco,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38081173,38430770,38762441,39080099,39384126,39674560,39953460,40221743,40477986,40722975,40957244,41182094,41398230,41604033,41802274,41990445,42168205,42339041,42500327,42650495,42792498,42925306,43046179,43158169,43262402,43355720,43440431
MAR,Morocco,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14166268,14170247,14159033,14134134,14095698,14043760,13979076,13901984,13812019,13709499,13594653,13467961,13329697,13179393,13017991,12844767,12659713,12463964,12256820,12037951,11808321,11567758,11315674,11053047,10780301,10496803,10203299
MAR,Morocco,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23914905,24260523,24603408,24945965,25288428,25630800,25974384,26319759,26665967,27013476,27362591,27714133,28068533,28424640,28784283,29145678,29508492,29875077,30243507,30612544,30984177,31357548,31730505,32105122,32482101,32858917,33237132
MCO,Monaco,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38631,38341,38087,37868,37672,37507,37366,37243,37132,37041,36967,36894,36824,36760,36708,36671,36627,36569,36538,36526,36517,36523,36538,36572,36620,36681,36757
MCO,Monaco,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,Monaco,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38631,38341,38087,37868,37672,37507,37366,37243,37132,37041,36967,36894,36824,36760,36708,36671,36627,36569,36538,36526,36517,36523,36538,36572,36620,36681,36757
MDA,Moldova,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402306,2365111,2340095,2315232,2290180,2264833,2239156,2213883,2188646,2163007,2137342,2111673,2086798,2062327,2038368,2014648,1992135,1970547,1949383,1928632,1908924,1889241,1870531,1852410,1834615,1816370,1798787
MDA,Moldova,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356907,1330762,1311822,1293283,1274947,1256746,1238656,1221073,1203785,1186544,1169549,1152803,1136733,1121116,1106003,1091235,1077330,1064123,1051336,1038956,1027315,1015857,1005087,994790,984819,974753,965183
MDA,Moldova,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045399,1034349,1028273,1021949,1015233,1008087,1000500,992810,984861,976463,967793,958870,950065,941211,932365,923413,914805,906424,898047,889676,881609,873384,865444,857620,849796,841617,833604
MDG,Madagascar,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31964956,32740678,33522052,34308793,35099857,35894678,36693183,37495706,38301317,39109380,39919950,40733844,41551315,42371340,43194160,44019293,44846895,45676979,46508815,47342295,48176604,49011274,49846527,50682067,51517353,52351990,53185475
MDG,Madagascar,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21597446,21968436,22331423,22685894,23030846,23365609,23689849,24003499,24305685,24595741,24873454,25139084,25392532,25632924,25860175,26073769,26273582,26459409,26630626,26786982,26927844,27052797,27161824,27254626,27330794,27390015,27431936
MDG,Madagascar,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10367510,10772242,11190629,11622899,12069011,12529069,13003334,13492207,13995632,14513639,15046496,15594760,16158783,16738416,17333985,17945524,18573313,19217570,19878189,20555313,21248760,21958477,22684703,23427441,24186559,24961975,25753539
MDV,Maldives,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527799,529676,531517,533431,535494,537571,539667,541921,544283,546718,549155,551594,554087,556633,559230,561953,564798,567605,570378,573135,575809,578453,581021,583392,585720,587981,589962
MDV,Maldives,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306133,304531,302774,300924,299018,296979,294807,292575,290251,287814,285222,282475,279595,276579,273423,270159,266781,263209,259443,255489,251318,246951,242369,237521,232473,227214,221666
MDV,Maldives,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221666,225145,228743,232507,236476,240592,244860,249346,254032,258904,263933,269119,274492,280054,285807,291794,298017,304396,310935,317646,324491,331502,338652,345871,353247,360767,368296
MEX,Mexico,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130861007,131946900,132997658,134017708,135008697,135970891,136904738,137811065,138690193,139542085,140362027,141150819,141909163,142637546,143336220,143998292,144624323,145217774,145777456,146300007,146787717,147240092,147654160,148030146,148372231,148677897,148946274
MEX,Mexico,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26494276,26335423,26154548,25952543,25729727,25486149,25221899,24937141,24631947,24306330,23959519,23591738,23203198,22794075,22364514,21913581,21441564,20949180,20436448,19903127,19349792,18776639,18183581,17570982,16939668,16289672,15621277
MEX,Mexico,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104366731,105611477,106843110,108065165,109278970,110484742,111682839,112873924,114058246,115235755,116402508,117559081,118705965,119843471,120971706,122084711,123182759,124268594,125341008,126396880,127437925,128463453,129470579,130459164,131432563,132388225,133324997
MHL,Marshall Islands,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37548,36282,35075,33976,32976,32047,31186,30418,29741,29141,28610,28142,27744,27394,27090,26831,26597,26392,26216,26055,25907,25773,25651,25539,25427,25307,25195
MHL,Marshall Islands,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7985,7581,7198,6846,6522,6219,5936,5677,5440,5222,5021,4835,4664,4504,4354,4213,4079,3950,3827,3708,3592,3479,3369,3261,3153,3046,2941
MHL,Marshall Islands,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29563,28701,27877,27130,26454,25828,25250,24741,24301,23919,23589,23307,23080,22890,22736,22618,22518,22442,22389,22347,22315,22294,22282,22278,22274,22261,22254
MKD,North Macedonia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824359,1814961,1805082,1795315,1785172,1774552,1763096,1751572,1739864,1728138,1716028,1703706,1691137,1678406,1665902,1653151,1640264,1627421,1614367,1601333,1588618,1575749,1562827,1550302,1537737,1524987,1512128
MKD,North Macedonia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682957,673514,663711,653775,643538,632975,621971,610812,599467,588002,576301,564436,552403,540243,528087,515793,503405,490986,478469,465930,453461,440932,428380,415933,403476,390979,378470
MKD,North Macedonia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141402,1141447,1141371,1141540,1141634,1141577,1141125,1140760,1140397,1140136,1139727,1139270,1138734,1138163,1137815,1137358,1136859,1136435,1135898,1135403,1135157,1134817,1134447,1134369,1134261,1134008,1133658
MLI,Mali,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24478595,25198821,25932275,26679169,27440610,28215512,29002865,29804538,30618889,31442797,32276676,33118345,33967889,34823450,35685574,36549482,37413643,38280866,39151279,40026323,40902503,41778982,42655645,43530854,44405719,45279774,46154079
MLI,Mali,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16741508,17081597,17421649,17761542,18101739,18441239,18779117,19116319,19451511,19782470,20109248,20430287,20745463,21053477,21354511,21645580,21925718,22196516,22457954,22710754,22952829,23183657,23403131,23610318,23805801,23989299,24161341
MLI,Mali,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737087,8117224,8510626,8917627,9338871,9774273,10223748,10688219,11167378,11660327,12167428,12688058,13222426,13769973,14331063,14903902,15487925,16084350,16693325,17315569,17949674,18595325,19252514,19920536,20599918,21290475,21992738
MLT,Malta,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568847,573715,575381,576854,578001,578831,579472,579875,580124,579945,579304,578523,577611,576557,575259,573873,572532,571031,569582,567982,566377,564680,562982,561029,559238,557526,555568
MLT,Malta,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24719,24781,24712,24641,24564,24481,24396,24309,24222,24124,24013,23903,23795,23687,23575,23465,23362,23259,23163,23066,22974,22882,22795,22701,22618,22542,22460
MLT,Malta,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544128,548934,550669,552213,553437,554350,555076,555566,555902,555821,555291,554620,553816,552870,551684,550408,549170,547772,546419,544916,543403,541798,540187,538328,536620,534984,533108
MMR,Myanmar,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54500091,54850648,55184819,55502482,55802774,56085140,56351031,56601628,56836046,57054544,57257179,57444464,57616149,57773908,57919863,58052177,58169858,58274270,58365923,58443282,58506404,58558172,58596768,58620769,58632726,58633122,58623232
MMR,Myanmar,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37904863,38075295,38222744,38347189,38448099,38525189,38579571,38612184,38622569,38611072,38577919,38523658,38448342,38353320,38240230,38108094,37956526,37786701,37599232,37393428,37169650,36930053,36673807,36400371,36111695,35808421,35491672
MMR,Myanmar,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16595228,16775353,16962075,17155293,17354675,17559951,17771460,17989444,18213477,18443472,18679260,18920806,19167807,19420588,19679633,19944083,20213332,20487569,20766691,21049854,21336754,21628119,21922961,22220398,22521031,22824701,23131560
MNE,Montenegro,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623525,613970,610662,607438,604127,600713,597230,593645,589944,586160,582291,578343,574333,570287,566206,562117,558057,553962,549930,545817,541750,537674,533610,529458,525405,521281,517172
MNE,Montenegro,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214853,211153,209628,208152,206667,205167,203663,202144,200605,199057,197499,195932,194362,192798,191239,189694,188176,186662,185184,183695,182236,180788,179359,177913,176515,175105,173712
MNE,Montenegro,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408672,402817,401034,399286,397460,395546,393567,391501,389339,387103,384792,382411,379971,377489,374967,372423,369881,367300,364746,362122,359514,356886,354251,351545,348890,346176,343460
MNG,Mongolia,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524788,3566719,3606837,3646059,3684148,3721283,3758038,3794236,3830971,3868323,3906312,3944664,3983894,4024136,4064654,4106030,4147692,4189907,4232389,4274211,4315994,4357578,4397784,4437030,4474964,4511962,4547019
MNG,Mongolia,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023718,1029174,1034275,1039297,1044183,1048994,1053900,1058857,1064176,1069880,1075975,1082389,1089265,1096639,1104313,1112448,1120889,1129712,1138841,1148030,1157450,1167058,1176543,1186019,1195394,1204769,1213876
MNG,Mongolia,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501070,2537545,2572562,2606762,2639965,2672289,2704138,2735379,2766795,2798443,2830337,2862275,2894629,2927497,2960341,2993582,3026803,3060195,3093548,3126181,3158544,3190520,3221241,3251011,3279570,3307193,3333143
MNP,Northern Mariana Islands,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44278,43541,42914,42475,42190,41959,41785,41677,41600,41547,41554,41617,41721,41831,41934,42057,42175,42295,42408,42486,42563,42643,42700,42733,42740,42761,42764
MNP,Northern Mariana Islands,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3509,3406,3313,3233,3165,3101,3040,2984,2928,2874,2822,2774,2726,2678,2627,2577,2525,2471,2416,2357,2296,2234,2170,2103,2033,1963,1891
MNP,Northern Mariana Islands,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40769,40135,39601,39242,39025,38858,38745,38693,38672,38673,38732,38843,38995,39153,39307,39480,39650,39824,39992,40129,40267,40409,40530,40630,40707,40798,40873
MOZ,Mozambique,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34631766,35631653,36639851,37668658,38714099,39774944,40846755,41931257,43032893,44144535,45273526,46411774,47548670,48684556,49822037,50971125,52124215,53271002,54423406,55574712,56716584,57851793,58981108,60117595,61254584,62397014,63530952
MOZ,Mozambique,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22014294,22373901,22702775,23004090,23346594,23687179,24020699,24348819,24674613,24994541,25313423,25627418,25931603,26227306,26517107,26807475,27095536,27377282,27660301,27942600,28221590,28500375,28781074,29071788,29370990,29682848,30002677
MOZ,Mozambique,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12617472,13257752,13937076,14664568,15367505,16087765,16826056,17582438,18358280,19149994,19960103,20784356,21617067,22457250,23304930,24163650,25028679,25893720,26763105,27632112,28494994,29351418,30200034,31045807,31883594,32714166,33528275
MRT,Mauritania,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5169395,5315065,5461319,5608791,5757957,5909197,6062528,6217789,6374846,6533841,6694450,6856319,7019234,7183119,7348364,7514742,7681908,7850223,8020484,8192549,8365182,8538531,8713260,8888481,9064219,9240178,9415598
MRT,Mauritania,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036387,2046894,2055695,2063120,2069432,2074849,2079462,2083311,2086458,2089066,2091158,2092766,2093986,2094964,2095994,2097194,2098666,2100718,2103774,2108008,2113335,2120042,2128553,2138914,2151413,2166270,2183610
MRT,Mauritania,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133008,3268171,3405624,3545671,3688525,3834348,3983066,4134478,4288388,4444775,4603292,4763553,4925248,5088155,5252370,5417548,5583242,5749505,5916710,6084541,6251847,6418489,6584707,6749567,6912806,7073908,7231988
