,,,,Time_Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,,,,Time,YR1950,YR1951,YR1952,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025,YR2026,YR2027,YR2028,YR2029,YR2030,YR2031,YR2032,YR2033,YR2034,YR2035,YR2036,YR2037,YR2038,YR2039,YR2040,YR2041,YR2042,YR2043,YR2044,YR2045,YR2046,YR2047,YR2048,YR2049,YR2050
Country,Country_Name,Series,Series_Name,SCALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11858610,11875529,11888588,11899842,11909626,11918005,11923918,11928381,11932205,11936143,11938524,11940263,11941731,11943736,11944834,11944642,11943662,11943018,11940908,11938070,11934956,11929930,11924047,11916976,11908458,11898626,11887823
BEL,Belgium,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468967,1463943,1458579,1453142,1447687,1442235,1436668,1431124,1425711,1420531,1415393,1410419,1405663,1401229,1396958,1392817,1388873,1385270,1381806,1378578,1375648,1372837,1370278,1367940,1365805,1363893,1362279
BEL,Belgium,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10389643,10411586,10430009,10446700,10461939,10475770,10487250,10497257,10506494,10515612,10523131,10529844,10536068,10542507,10547876,10551825,10554789,10557748,10559102,10559492,10559308,10557093,10553769,10549036,10542653,10534733,10525544
BEN,Benin,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14462724,14814460,15170419,15529414,15890280,16253920,16618822,16985930,17357064,17731438,18109912,18492631,18878045,19264500,19655275,20049969,20445760,20843264,21242981,21643637,22042571,22443646,22846196,23245139,23642191,24038607,24433809
BEN,Benin,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6863208,6909167,6948767,6981178,7005615,7022223,7030090,7029372,7020541,7002968,6976682,6941407,6896234,6840276,6774412,6698149,6610224,6510564,6399033,6274955,6137322,5986988,5823471,5645243,5452593,5245624,5024001
BEN,Benin,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7599516,7905293,8221652,8548236,8884665,9231697,9588732,9956558,10336523,10728470,11133230,11551224,11981811,12424224,12880863,13351820,13835536,14332700,14843948,15368682,15905249,16456658,17022725,17599896,18189598,18792983,19409808
BFA,Burkina Faso,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23548781,24074580,24601700,25130911,25661941,26194607,26730324,27270863,27815170,28363851,28916948,29469746,30019877,30567560,31112525,31654872,32193645,32728838,33260948,33788598,34311736,34829690,35339503,35842178,36336706,36823432,37304383
BFA,Burkina Faso,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16876175,17111577,17332171,17537983,17728306,17902509,18061050,18204588,18331866,18442742,18536693,18610195,18661370,18690029,18695698,18678150,18636557,18570690,18480618,18365384,18224821,18058462,17864735,17644198,17396412,17121647,16820956
BFA,Burkina Faso,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6672606,6963003,7269529,7592928,7933635,8292098,8669274,9066275,9483304,9921109,10380255,10859551,11358507,11877531,12416827,12976722,13557088,14158148,14780330,15423214,16086915,16771228,17474768,18197980,18940294,19701785,20483427
BGD,Bangladesh,SP.POP.TOTL,"Population, total",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173562364,175686899,177818044,179930175,182014774,184064620,186072407,188025198,189904568,191717185,193461166,195130372,196740575,198288196,199776948,201208774,202589429,203939079,205259486,206545483,207801055,209029594,210231190,211402170,212537928,213638540,214709097
BGD,Bangladesh,SP.RUR.TOTL,Rural population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116845100,117289303,117642252,117885220,118011292,118014708,117889975,117628424,117218563,116664967,115967042,115121929,114139905,113019763,111764679,110376857,108860608,107227695,105479594,103614299,101634625,99542986,97340168,95025334,92597513,90058048,87410361
BGD,Bangladesh,SP.URB.TOTL,Urban population,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56717264,58397596,60175792,62044955,64003482,66049912,68182432,70396774,72686005,75052218,77494124,80008443,82600670,85268433,88012269,90831917,93728821,96711384,99779892,102931184,106166430,109486608,112891022,116376836,119940415,123580492,127298736
